Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0002,1,OK,0.0,0,0.0,24,21.9,3.6,0.000,0.0,0,0.0
Step0002,2,OK,0.0,0,0.0,8,16.7,4.9,0.000,0.0,0,0.0
Step0002,3,OK,0.0,0,0.0,4,21.0,17.4,0.000,0.0,0,0.0
Step0002,4,OK,0.0,0,0.0,4,13.4,10.2,0.000,0.0,0,0.0
Step0002,5,OK,0.0,0,0.0,3,38.8,38.4,0.000,0.0,0,0.0
Step0002,6,OK,0.0,0,0.0,13,21.8,12.2,0.000,0.0,0,0.0
Step0002,7,OK,0.0,0,0.0,15,18.1,5.1,0.000,0.0,0,0.0
Step0002,8,OK,0.0,0,0.0,14,12.2,3.3,0.000,0.0,0,0.0
Step0002,9,OK,0.0,0,0.0,12,15.0,6.2,0.000,0.0,0,0.0
Step0002,10,OK,0.0,0,0.0,100,28.0,4.7,0.000,0.0,0,0.0
Step0002,11,OK,0.0,0,0.0,7,13.6,6.5,0.000,0.0,0,0.0
Step0002,12,OK,0.0,0,0.0,14,17.0,6.5,0.000,0.0,0,0.0
Step0002,13,OK,0.0,0,0.0,7,13.6,4.9,0.000,0.0,0,0.0
Step0002,14,OK,0.0,0,0.0,16,12.0,2.5,0.000,0.0,0,0.0
Step0002,15,OK,0.0,0,0.0,9,5.7,2.3,0.000,0.0,0,0.0
Step0002,16,OK,0.0,0,0.0,26,18.2,2.0,0.000,0.0,0,0.0
Step0002,17,OK,0.0,0,0.0,8,16.1,9.6,0.000,0.0,0,0.0
Step0002,18,OK,0.0,0,0.0,6,15.8,8.6,0.000,0.0,0,0.0
Step0002,19,OK,0.0,0,0.0,11,10.1,4.1,0.000,0.0,0,0.0
Step0002,20,OK,0.0,0,0.0,9,11.6,5.4,0.000,0.0,0,0.0
Step0002,21,OK,0.0,0,0.0,11,22.1,10.8,0.000,0.0,0,0.0
