Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0006,1,OK,0.0,0,0.0,79,26.6,7.4,0.000,0.0,0,0.0
Step0006,2,OK,0.0,0,0.0,31,16.0,3.8,0.000,0.0,0,0.0
Step0006,3,OK,0.0,0,0.0,27,18.2,6.6,0.000,0.0,0,0.0
Step0006,4,OK,0.0,0,0.0,22,13.1,3.2,0.000,0.0,0,0.0
Step0006,5,OK,0.0,0,0.0,23,21.0,11.2,0.000,0.0,0,0.0
Step0006,6,OK,0.0,0,0.0,7,18.2,4.8,0.000,0.0,0,0.0
Step0006,7,OK,0.0,0,0.0,1,20.5,20.5,0.000,0.0,0,0.0
Step0006,8,OK,0.0,0,0.0,4,11.3,5.3,0.000,0.0,0,0.0
Step0006,9,OK,0.0,0,0.0,5,9.0,6.3,0.000,0.0,0,0.0
Step0006,10,OK,0.0,0,0.0,5,5.9,1.9,0.000,0.0,0,0.0
Step0006,11,OK,0.0,0,0.0,3,9.3,4.8,0.000,0.0,0,0.0
Step0006,12,OK,0.0,0,0.0,7,8.4,5.1,0.000,0.0,0,0.0
Step0006,13,OK,0.0,0,0.0,4,8.2,6.4,0.000,0.0,0,0.0
Step0006,14,OK,0.0,0,0.0,2,11.1,6.2,0.000,0.0,0,0.0
Step0006,15,OK,0.0,0,0.0,3,11.0,5.5,0.000,0.0,0,0.0
Step0006,16,OK,0.0,0,0.0,6,7.4,6.0,0.000,0.0,0,0.0
Step0006,17,OK,0.0,0,0.0,4,9.0,4.5,0.000,0.0,0,0.0
Step0006,18,OK,0.0,0,0.0,5,7.3,3.2,0.000,0.0,0,0.0
Step0006,19,OK,0.0,0,0.0,4,37.6,35.5,0.000,0.0,0,0.0
Step0006,20,OK,0.0,0,0.0,3,23.2,17.4,0.000,0.0,0,0.0
Step0006,21,OK,0.0,0,0.0,4,12.3,8.5,0.000,0.0,0,0.0
Step0006,22,OK,0.0,0,0.0,8,10.0,3.8,0.000,0.0,0,0.0
