Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0001,1,OK,0.0,0,0.0,129,21.2,5.3,0.000,0.0,0,0.0
Step0001,2,OK,0.0,0,0.0,39,14.7,1.1,0.000,0.0,0,0.0
Step0001,3,OK,0.0,0,0.0,22,15.7,3.6,0.000,0.0,0,0.0
Step0001,4,OK,0.0,0,0.0,34,14.7,3.5,0.000,0.0,0,0.0
Step0001,5,OK,0.0,0,0.0,31,25.1,17.5,0.000,0.0,0,0.0
Step0001,6,OK,0.0,0,0.0,14,13.1,3.5,0.000,0.0,0,0.0
Step0001,7,OK,0.0,0,0.0,6,8.6,4.2,0.000,0.0,0,0.0
Step0001,8,OK,0.0,0,0.0,5,4.0,1.4,0.000,0.0,0,0.0
Step0001,9,OK,0.0,0,0.0,2,3.9,3.5,0.000,0.0,0,0.0
Step0001,10,OK,0.0,0,0.0,4,5.6,2.7,0.000,0.0,0,0.0
Step0001,11,OK,0.0,0,0.0,4,11.8,8.1,0.000,0.0,0,0.0
Step0001,12,OK,0.0,0,0.0,3,5.3,4.0,0.000,0.0,0,0.0
Step0001,13,OK,0.0,0,0.0,3,13.0,8.2,0.000,0.0,0,0.0
Step0001,14,OK,0.0,0,0.0,5,9.0,4.0,0.000,0.0,0,0.0
Step0001,15,OK,0.0,0,0.0,5,16.9,12.9,0.000,0.0,0,0.0
Step0001,16,OK,0.0,0,0.0,4,7.4,3.8,0.000,0.0,0,0.0
Step0001,17,OK,0.0,0,0.0,6,11.0,5.8,0.000,0.0,0,0.0
Step0001,18,OK,0.0,0,0.0,4,31.1,29.4,0.000,0.0,0,0.0
Step0001,19,OK,0.0,0,0.0,8,8.9,2.9,0.000,0.0,0,0.0
Step0001,20,OK,0.0,0,0.0,6,5.9,3.7,0.000,0.0,0,0.0
Step0001,21,OK,0.0,0,0.0,4,12.8,8.6,0.000,0.0,0,0.0
Step0001,22,OK,0.0,0,0.0,11,13.0,3.9,0.000,0.0,0,0.0
