Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0002,1,OK,0.0,0,0.0,19,24.1,5.4,0.000,0.0,0,0.0
Step0002,2,OK,0.0,0,0.0,7,14.2,6.1,0.000,0.0,0,0.0
Step0002,3,OK,0.0,0,0.0,6,9.2,3.6,0.000,0.0,0,0.0
Step0002,4,OK,0.0,0,0.0,9,13.6,6.8,0.000,0.0,0,0.0
Step0002,5,OK,0.0,0,0.0,5,18.2,12.0,0.000,0.0,0,0.0
Step0002,6,OK,0.0,0,0.0,17,15.8,12.1,0.000,0.0,0,0.0
Step0002,7,OK,0.0,0,0.0,5,18.1,10.5,0.000,0.0,0,0.0
Step0002,8,OK,0.0,0,0.0,7,14.5,8.0,0.000,0.0,0,0.0
Step0002,9,OK,0.0,0,0.0,5,28.1,27.0,0.000,0.0,0,0.0
Step0002,10,OK,0.0,0,0.0,82,33.6,8.9,0.000,0.0,0,0.0
Step0002,11,OK,0.0,0,0.0,12,9.7,2.4,0.000,0.0,0,0.0
Step0002,12,OK,0.0,0,0.0,4,20.8,15.5,0.000,0.0,0,0.0
Step0002,13,OK,0.0,0,0.0,7,17.9,8.2,0.000,0.0,0,0.0
Step0002,14,OK,0.0,0,0.0,13,13.9,5.1,0.000,0.0,0,0.0
Step0002,15,OK,0.0,0,0.0,8,14.5,5.0,0.000,0.0,0,0.0
Step0002,16,OK,0.0,0,0.0,25,18.9,4.7,0.000,0.0,0,0.0
Step0002,17,OK,0.0,0,0.0,4,19.7,8.5,0.000,0.0,0,0.0
Step0002,18,OK,0.0,0,0.0,7,20.4,13.1,0.000,0.0,0,0.0
Step0002,19,OK,0.0,0,0.0,10,13.3,4.0,0.000,0.0,0,0.0
Step0002,20,OK,0.0,0,0.0,8,20.6,8.7,0.000,0.0,0,0.0
Step0002,21,OK,0.0,0,0.0,5,18.3,10.6,0.000,0.0,0,0.0
